AlertID,Type,Priority,Message,CowID,Breed,Timestamp,Resolved,Details
1,health,high,Elevated temperature detected,C023,Jersey,2024-02-29 07:50:00,false,Temperature reading: 39.8°C (Normal: 38.0-39.0°C)
2,breeding,medium,Heat cycle detected - breeding window open,C045,Guernsey,2024-02-29 07:25:00,false,Heat signs detected. Ready for artificial insemination.
3,behavior,medium,Decreased activity levels,C012,Holstein,2024-02-29 06:50:00,false,Activity reduced by 40% compared to normal patterns
4,system,low,Sensor battery low - Barn sensor #5,,,2024-02-29 06:00:00,true,Battery level: 15%. Replace within 24 hours.
5,health,high,Abnormal rumination patterns,C089,Holstein,2024-02-29 05:00:00,true,Rumination time reduced by 60%. Check for health issues.
6,health,medium,Low milk production detected,C678,Jersey,2024-02-29 08:30:00,false,Milk production 25% below average for this cow
7,breeding,high,Optimal breeding window detected,C246,Guernsey,2024-02-29 08:15:00,false,Perfect timing for artificial insemination
8,behavior,low,Unusual movement pattern,C567,Holstein,2024-02-29 08:45:00,false,Cow showing irregular walking patterns
9,system,medium,Water sensor malfunction - Station 2,,,2024-02-29 09:00:00,false,Water level sensor not responding
10,health,high,High temperature alert,C468,Holstein,2024-02-29 09:10:00,false,Temperature: 40.2°C - Immediate attention required
11,breeding,medium,Pregnancy confirmation needed,C345,Jersey,2024-02-29 09:20:00,false,30 days post-insemination, ready for pregnancy check
12,behavior,low,Extended lying period,C901,Jersey,2024-02-29 09:30:00,false,Cow lying for 4+ hours without movement
13,health,medium,Reduced feed intake,C123,Holstein,2024-02-29 09:40:00,false,Feed consumption 30% below normal
14,system,low,Network connectivity issue,,,2024-02-29 09:50:00,false,Barn C sensors experiencing connectivity problems
15,breeding,high,Heat cycle missed,C890,Guernsey,2024-02-29 10:00:00,false,Expected heat cycle not detected
16,health,medium,Weight loss detected,C246,Guernsey,2024-02-29 10:10:00,false,5% weight loss over past week
17,behavior,low,Isolation behavior,C789,Holstein,2024-02-29 10:20:00,false,Cow staying away from herd
18,system,medium,Data transmission error,,,2024-02-29 10:30:00,false,Activity data not syncing properly
19,health,high,Respiratory distress signs,C468,Holstein,2024-02-29 10:40:00,false,Irregular breathing patterns detected
20,breeding,medium,Breeding schedule reminder,C579,Guernsey,2024-02-29 10:50:00,false,Cow due for breeding cycle check 